sim_idx,n_flows,wall_clock_s
0,272,14.998
1,272,11.17
2,272,12.093
3,272,9.675
4,272,12.6
5,272,11.041
6,272,10.711
7,272,11.68
8,272,9.669
9,272,11.568
10,272,13.243
11,272,9.453
12,272,7.727
13,272,7.804
14,272,8.465
15,272,7.982
16,272,9.048
17,272,8.197
18,272,8.605
19,272,8.119
20,272,7.558
21,272,7.846
22,272,7.465
23,272,9.396
24,272,7.848
25,272,7.728
26,272,7.484
27,272,8.885
28,272,8.291
29,272,8.637
30,272,10.579
31,272,14.592
32,272,12.692
33,272,10.97
34,272,9.157
35,272,7.825
36,272,10.221
37,272,11.979
38,272,13.299
39,272,10.162
40,272,11.921
41,272,15.44
42,272,13.034
43,272,17.359
44,272,11.882
45,272,11.597
46,272,10.181
47,272,10.614
48,272,11.349
49,272,10.421
50,272,10.735
51,272,15.659
52,272,10.24
53,272,16.778
54,272,19.818
55,272,10.402
56,272,9.492
57,272,13.299
58,272,10.523
59,272,10.536
60,272,10.37
61,272,10.516
62,272,11.965
63,272,9.875
64,272,10.429
65,272,9.674
66,272,10.273
67,272,9.581
68,272,10.015
69,272,10.674
70,272,8.493
71,272,9.357
72,272,9.214
73,272,8.209
74,272,9.284
75,272,9.48
76,272,10.038
77,272,9.809
78,272,9.63
79,272,8.655
80,272,9.091
81,272,9.903
82,272,9.681
83,272,8.824
84,272,9.292
85,272,8.883
86,272,8.152
87,272,9.599
88,272,10.267
89,272,9.473
90,272,9.571
91,272,9.531
92,272,8.37
93,272,7.166
94,272,6.821
95,272,8.598
96,272,6.293
97,272,6.654
98,272,6.969
99,272,7.324
100,272,6.362
101,272,6.617
102,272,9.212
103,272,7.688
104,272,7.161
105,272,6.75
106,272,6.281
107,272,7.124
108,272,6.795
109,272,6.371
110,272,6.572
111,272,6.69
112,272,7.043
113,272,6.475
114,272,6.867
115,272,6.438
116,272,6.721
117,272,7.373
118,272,6.623
119,272,6.718
120,272,6.69
121,272,6.55
122,272,6.466
123,272,6.734
124,272,6.738
125,272,7.028
126,272,6.736
127,272,6.732
128,272,7.327
129,272,6.569
130,272,6.775
131,272,6.552
132,272,6.696
133,272,6.323
134,272,6.7
135,272,6.923
136,272,6.455
137,272,7.517
138,272,7.086
139,272,6.506
140,272,6.566
141,272,6.952
142,272,6.87
143,272,6.809
144,272,6.931
145,272,6.426
146,272,6.803
147,272,8.922
148,272,6.99
149,272,6.919
150,272,6.611
151,272,6.937
152,272,6.808
153,272,6.646
154,272,6.544
155,272,6.948
156,272,6.498
157,272,6.605
158,272,6.941
159,272,6.542
160,272,6.678
161,272,6.606
162,272,6.834
163,272,6.577
164,272,6.589
165,272,7.155
166,272,6.604
167,272,6.513
168,272,7.69
169,272,6.415
170,272,6.865
171,272,6.96
172,272,6.351
173,272,6.779
174,272,6.434
175,272,6.92
176,272,6.703
177,272,7.368
178,272,6.883
179,272,6.868
180,272,6.951
181,272,6.618
182,272,7.224
183,272,7.421
184,272,6.761
185,272,6.408
186,272,6.567
187,272,6.756
188,272,6.74
189,272,6.686
190,272,6.722
191,272,7.042
192,272,6.268
193,272,6.771
194,272,6.777
195,272,8.599
196,272,6.589
197,272,6.838
198,272,6.583
199,272,7.444
200,272,7.53
201,272,6.763
202,272,7.473
203,272,6.975
204,272,6.657
205,272,7.019
206,272,6.876
207,272,6.476
208,272,7.035
209,272,6.5
210,272,6.726
211,272,6.842
212,272,6.565
213,272,6.615
214,272,6.586
215,272,6.618
216,272,6.478
217,272,6.789
218,272,6.566
219,272,6.815
220,272,6.994
221,272,7.254
222,272,6.894
223,272,6.88
224,272,6.759
225,272,6.373
226,272,8.093
227,272,7.078
228,272,6.617
229,272,6.427
230,272,7.083
231,272,6.61
232,272,6.996
233,272,6.619
234,272,7.131
235,272,6.491
236,272,7.513
237,272,6.674
238,272,7.025
239,272,6.795
240,272,7.009
241,272,6.795
242,272,6.598
243,272,6.818
244,272,6.832
245,272,6.824
246,272,6.989
247,272,6.583
248,272,7.053
249,272,6.694
250,272,6.977
251,272,6.939
252,272,7.203
253,272,6.883
254,272,6.93
255,272,6.832
256,272,7.649
257,272,7.346
258,272,7.03
259,272,6.776
260,272,6.764
261,272,6.704
262,272,7.007
263,272,6.998
264,272,6.865
265,272,6.95
266,272,6.816
267,272,6.567
268,272,6.733
269,272,7.019
270,272,7.031
271,272,7.049
272,272,7.162
273,272,6.666
274,272,6.942
275,272,7.047
276,272,6.963
277,272,6.94
278,272,6.62
279,272,6.754
280,272,6.58
281,272,7.096
282,272,7.001
283,272,6.946
284,272,6.685
285,272,6.614
286,272,6.975
287,272,6.736
288,272,6.485
289,272,7.094
290,272,6.612
291,272,6.351
292,272,7.107
293,272,7.28
294,272,6.822
295,272,6.764
296,272,6.686
297,272,6.547
298,272,6.633
299,272,6.729
